# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
               1.3               -0.176          0 
        1.33509053                 -0.1          0 
        1.35296357               -0.076          0 
        1.37135245               -0.086          0 
        1.40433154               -0.082          0 
        1.42007144               -0.087          0 
        1.50813032               -0.037          0 
        1.52176868               -0.059          0 
        1.54789998               -0.051          0 
        1.48297833               -0.022          0 
        1.48913331               -0.043          0 
         1.5072205               -0.075          0 
        2.13912629                -0.01          0 
         2.1505458               -0.058          0 
        2.19209121               -0.031          0 
        1.79798248               -0.016          0 
        1.81721102               -0.057          0 
         1.8972194               -0.026          0 
        1.93994297               -0.058          0 
        1.98570075                0.011          0 
