# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
             1.083     0.03286666666667          0 
             1.087               0.0337          0 
             1.091               0.0306          0 
             1.095               0.0234          0 
             1.099   -0.009666666666667          0 
             1.103    -0.04243333333333          0 
             1.107              -0.0798          0 
             1.111     -0.1141333333333          0 
             1.115     -0.1503666666667          0 
             1.119     -0.1881666666667          0 
