# (use "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#
#      Temperature      S_big - S_small       Zero
             0.998            0.0325225          0 
             1.018              0.04325          0 
             1.038            0.0525525          0 
             1.058            0.0603075          0 
             1.078            0.0570825          0 
             1.098           -0.0014075          0 
             1.118           -0.0733525          0 
             1.138           -0.1475725          0 
             1.158            -0.184635          0 
             1.178            -0.187325          0 
